Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
Date,,,,,
2023-01-02,61167.7890625,61222.7890625,60764.62890625,60871.23828125,18500
2023-01-03,61294.19921875,61343.9609375,61004.0390625,61074.87890625,6700
2023-01-04,60657.44921875,61327.2109375,60593.55859375,61294.6484375,7900
2023-01-05,60353.26953125,60877.05859375,60049.83984375,60847.5,8900
2023-01-06,59900.37109375,60537.62890625,59669.91015625,60388.73828125,8600
2023-01-09,60747.30859375,60889.41015625,60109.94140625,60147.0703125,8000
2023-01-10,60115.48046875,60809.6484375,59938.37890625,60805.140625,8500
2023-01-11,60105.5,60364.76953125,59805.78125,60134.55859375,9700
2023-01-12,59958.03125,60290.3515625,59632.3203125,60083.03125,6100
2023-01-13,60261.1796875,60418.26171875,59628.4296875,60044.9609375,7200
2023-01-16,60092.96875,60586.76953125,59963.828125,60550.5,6500
2023-01-17,60655.71875,60704.48046875,60072.33984375,60142.078125,6600
2023-01-18,61045.73828125,61110.25,60569.19140625,60716.03125,6900
2023-01-19,60858.4296875,61032.46875,60716.55078125,60920.01953125,8500
2023-01-20,60621.76953125,61001.1796875,60585.25,60901.16015625,6300
2023-01-23,60941.671875,61113.26953125,60761.87890625,60876.01171875,6600
2023-01-24,60978.75,61266.05859375,60849.12109375,61122.19921875,9500
2023-01-25,60205.05859375,60899.2109375,60081.359375,60834.73046875,8100
2023-01-27,59330.8984375,60166.8984375,58974.69921875,60166.8984375,12900
2023-01-30,59500.41015625,59644.23828125,58699.19921875,59101.69140625,11500
2023-01-31,59549.8984375,59787.62890625,59104.58984375,59770.828125,9000
2023-02-01,59708.078125,60773.44140625,58816.83984375,60001.171875,25300
2023-02-02,59932.23828125,60007.671875,59215.62109375,59459.87109375,10400
2023-02-03,60841.87890625,60905.33984375,60013.05859375,60350.01171875,9100
2023-02-06,60506.8984375,60847.2109375,60345.609375,60847.2109375,7500
2023-02-07,60286.0390625,60655.140625,60063.48828125,60511.3203125,13600
2023-02-08,60663.7890625,60792.1015625,60324.921875,60332.98828125,13300
2023-02-09,60806.21875,60863.62890625,60472.80859375,60715.890625,8500
2023-02-10,60682.69921875,60774.140625,60501.73828125,60706.80859375,5300
2023-02-13,60431.83984375,60740.94921875,60245.05078125,60652.8203125,5800
2023-02-14,61032.26171875,61102.73828125,60550.25,60550.25,7000
2023-02-15,61275.08984375,61352.55078125,60750.3203125,60990.05078125,5700
2023-02-16,61319.51171875,61682.25,61196.71875,61566.21875,6900
2023-02-17,61002.5703125,61302.71875,60810.671875,60993.5390625,8100
2023-02-20,60691.5390625,61290.19140625,60607.01953125,61112.83984375,6100
2023-02-21,60672.71875,60976.58984375,60583.71875,60770.4296875,5100
2023-02-22,59744.98046875,60462.8984375,59681.55078125,60391.859375,8100
2023-02-23,59605.80078125,59960.0390625,59406.30859375,59777.640625,7100
2023-02-24,59463.9296875,59908.76953125,59325.33984375,59859.48046875,5300
2023-02-27,59288.3515625,59441.12890625,58937.640625,59331.30859375,7500
2023-02-28,58962.12109375,59483.71875,58795.96875,59346.609375,6900
2023-03-01,59411.078125,59475.44921875,59109.5390625,59136.48046875,5900
2023-03-02,58909.3515625,59423.7890625,58866.26171875,59287.1796875,5200
2023-03-03,59808.96875,59967.0390625,59231.578125,59241.19921875,9200
2023-03-06,60224.4609375,60498.48046875,60005.6484375,60007.0390625,5900
2023-03-08,60348.08984375,60402.8515625,59844.8203125,59916.1015625,6500
2023-03-09,59806.28125,60467.08984375,59750.53125,60467.08984375,7700
2023-03-10,59135.12890625,59262.46875,58884.98046875,59259.828125,6300
2023-03-13,58237.8515625,59510.921875,58094.55078125,59033.76953125,8000
2023-03-14,57900.19140625,58490.98046875,57721.16015625,58168.75,10200
2023-03-15,57555.8984375,58473.62890625,57455.671875,58268.5390625,7600
2023-03-16,57634.83984375,57887.4609375,57158.69140625,57510.80078125,7900
2023-03-17,57989.8984375,58178.94140625,57503.8984375,58038.171875,6300
2023-03-20,57628.94921875,57829.23046875,57084.91015625,57773.55078125,6500
2023-03-21,58074.6796875,58133.328125,57730.08984375,57963.26953125,5500
2023-03-22,58214.58984375,58418.78125,58063.5,58245.26171875,0
2023-03-23,57925.28125,58396.171875,57838.8515625,58061.41015625,5100
